Timestamp	Timestamp	Lifetime_TPCCenter	Lifetime_TPCLow	Lifetime_TPCHigh	Qratio_TPCCenter	Qratio_TPCLow	Qratio_TPCHigh	SetVoltage_A	Ka_prm	Ka_tpc	Ka_prm/Ka_tpc	CorLifetime_TPCCenter	CorLifetime_TPCLow	CorLifetime_TPCHigh
2018-10-03	22:59:36	0.866924511	0.844392953	0.883476803	0.071252754	0.06640337	0.074867766	3000	4.226094771	3.327620985	1.270004844	1.100998328	1.072383141	1.122019819
2018-10-04	1:34:41	0.872083434	0.849286442	0.888835216	0.072374913	0.067449156	0.076046859	3000	4.226094771	3.327620985	1.270004844	1.107550186	1.078597895	1.12882503
2018-10-04	7:17:27	1.159643024	1.119511904	1.189583866	0.138796613	0.12931108	0.145869496	3000	4.226094771	3.327620985	1.270004844	1.472752258	1.421785541	1.510777272
2018-10-04	7:18:43	1.107121501	1.070332894	1.134500369	0.126384429	0.117711181	0.132853309	3000	4.226094771	3.327620985	1.270004844	1.406049669	1.35932796	1.440820964
2018-10-04	16:22:24	1.25239845	1.205719917	1.287392824	0.160655724	0.149676313	0.168842517	3000	4.226094771	3.327620985	1.270004844	1.590552098	1.531270135	1.634995123
2018-10-05	19:14:58	1.50464788	1.449047727	1.563841266	0.218285646	0.205903385	0.231229861	1200	4.515117865	3.327620985	1.356860618	2.041597452	1.966155794	2.121914626
2018-10-06	1:20:18	1.615670579	1.551736953	1.684120281	0.242351013	0.228603643	0.25672229	1200	4.515117865	3.327620985	1.356860618	2.19223978	2.10549076	2.285116485
2018-10-06	19:58:05	1.964814478	1.870731649	2.067381244	0.311765355	0.294016325	0.330323923	1200	4.515117865	3.327620985	1.356860618	2.665979386	2.538322101	2.805148192
2018-10-07	15:31:59	2.239450477	2.118254892	2.373408357	0.359668578	0.339229441	0.381037631	1200	4.515117865	3.327620985	1.356860618	3.038622157	2.874176641	3.220384329
2018-10-08	8:30:54	2.734073027	2.556490657	2.93520509	0.432757301	0.408297506	0.45832168	1200	4.515117865	3.327620985	1.356860618	3.709756016	3.468801492	3.982664191
2018-10-08	14:01:27	2.83317581	2.642604745	3.050163496	0.445623777	0.420391338	0.471998521	1200	4.515117865	3.327620985	1.356860618	3.844224679	3.585646306	4.138646725
2018-10-08	21:54:20	3.15077827	2.916042733	3.422562033	0.483451367	0.455977939	0.512174748	1200	4.515117865	3.327620985	1.356860618	4.275166949	3.956663544	4.643939634
2018-10-09	12:08:22	3.895460747	3.542263713	4.320422228	0.555512755	0.523887007	0.588580962	1200	4.515117865	3.327620985	1.356860618	5.285597275	4.806358129	5.862210773
2018-10-09	17:11:04	3.577581387	3.278987754	3.930679681	0.527241148	0.497387309	0.558446508	1200	4.515117865	3.327620985	1.356860618	4.85427929	4.449129349	5.33338446
2018-10-10	8:01:07	4.100417741	3.712899198	4.571050999	0.572078143	0.539685511	0.605937231	1200	4.515117865	3.327620985	1.356860618	5.563695349	5.037886699	6.202279082
2018-10-10	14:48:32	4.275140466	3.85558281	4.789250904	0.585285852	0.552145363	0.619926653	1200	4.515117865	3.327620985	1.356860618	5.800769733	5.231488473	6.49834594
2018-10-10	23:37:10	5.142763383	4.547486294	5.90533276	0.640641093	0.604366238	0.678558156	1200	4.515117865	3.327620985	1.356860618	6.9780131	6.170305061	8.012713456
2018-10-11	10:13:26	5.053537446	4.477580386	5.787986044	0.635624103	0.599633324	0.673244229	1200	4.515117865	3.327620985	1.356860618	6.85694594	6.075452488	7.853490318
2018-10-11	17:22:50	5.980070011	5.190064297	7.036673704	0.681854723	0.643246239	0.72221106	1200	4.515117865	3.327620985	1.356860618	8.114121489	7.042193848	9.547785428
2018-10-12	10:22:23	6.16574566	5.329351158	7.295177147	0.689763274	0.650706986	0.730587688	1200	4.515117865	3.327620985	1.356860618	8.366057464	7.231186704	9.898538569
2018-10-12	22:43:05	8.789308469	7.182447225	11.27839835	0.770632387	0.726997069	0.81624313	1200	4.515117865	3.327620985	1.356860618	11.92586652	9.745579778	15.30321455
2018-10-13	12:40:15	7.881007202	6.564218785	9.825324111	0.747835686	0.705491179	0.792097181	1200	4.515117865	3.327620985	1.356860618	10.6934283	8.906729955	13.33159534
2018-10-13	23:30:53	9.470269309	7.630830442	12.42481494	0.785205835	0.740745328	0.831679125	1200	4.515117865	3.327620985	1.356860618	12.84983546	10.35397331	16.85874207
2018-10-13	23:31:55	10.89520036	8.529712001	14.9983473	0.810434874	0.76454583	0.858401372	1200	4.515117865	3.327620985	1.356860618	14.78326829	11.57363029	20.35066678
2018-10-14	21:32:44	11.84247775	9.099553153	16.85423564	0.824175575	0.777508495	0.872955332	1200	4.515117865	3.327620985	1.356860618	16.06859167	12.34682531	22.86884858
2018-10-15	15:35:40	10.42401905	9.080524378	10.694627	0.802771679	0.777098568	0.807246492	500	4.579519547	3.327620985	1.376214289	14.34568396	12.4967474	14.71809849
2018-10-16	9:41:06	12.97578372	10.96334578	13.39633131	0.838213367	0.811494361	0.842870186	500	4.579519547	3.327620985	1.376214289	17.85745896	15.08791311	18.43622256
2018-10-17	11:34:52	13.12321233	11.065525	13.55426795	0.83987689	0.813061066	0.844550729	500	4.579519547	3.327620985	1.376214289	18.06035232	15.22853362	18.65357722
2018-10-18	8:25:44	18.09022572	14.39796171	18.92000556	0.881096877	0.852953462	0.886002147	500	4.579519547	3.327620985	1.376214289	24.89602712	19.81468063	26.03798199
2018-10-19	9:29:07	21.57026126	16.5158962	22.76154753	0.899276538	0.87052892	0.904287197	500	4.579519547	3.327620985	1.376214289	29.68530175	22.72941234	31.32476694
2018-10-20	11:50:24	32.27574297	22.14695506	35.01441629	0.931507426	0.901765998	0.936691182	500	4.579519547	3.327620985	1.376214289	44.41833865	30.478956	48.18734
2018-10-21	10:55:05	24.17599409	18.00531659	25.68120506	0.909625719	0.880571055	0.914689816	500	4.579519547	3.327620985	1.376214289	33.27134851	24.77917396	35.34284135
2018-10-22	10:00:06	34.47619496	23.16447706	37.61778233	0.935735298	0.905871093	0.940940412	500	4.579519547	3.327620985	1.376214289	47.44663212	31.87928432	51.77012955
2018-10-22	14:57:25	20.71984267	16.02325041	21.8133044	0.895366565	0.866825735	0.900340907	500	4.579519547	3.327620985	1.376214289	28.51494354	22.05142616	30.0197812
2018-10-24	17:12:19	106.5987866	42.42406626	143.8003883	0.978746683	0.947452196	0.984201277	500	4.579519547	3.327620985	1.376214289	146.7027733	58.38460617	197.9001491
2018-10-24	23:36:23	116.9722091	43.98186634	163.3277444	0.980613091	0.949265347	0.986076947	500	4.579519547	3.327620985	1.376214289	160.9788255	60.5284729	224.7739756
2018-10-25	12:28:26	88.95980253	39.33487181	113.4344922	0.974586536	0.943444196	0.980014547	500	4.579519547	3.327620985	1.376214289	122.4277514	54.13321262	156.110169
2018-10-25	12:44:30	112.0158955	43.26212259	153.8242938	0.979764025	0.948443423	0.98522315	500	4.579519547	3.327620985	1.376214289	154.1578759	59.53795126	211.6951911
2018-10-25	12:58:14	94.6751584	40.40398038	122.909734	0.976102213	0.944898671	0.981540935	500	4.579519547	3.327620985	1.376214289	130.2933058	55.60453511	169.1501321
